,urls
159,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP249199774&_cid=P10-MIYK57-76954-1
160,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017023082&_cid=P10-MIYK57-76954-1
161,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025058697&_cid=P10-MIYK57-76954-1
162,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94401414&_cid=P10-MIYK57-76954-1
163,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA201995118&_cid=P10-MIYK57-76954-1
164,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN241701121&_cid=P10-MIYK57-76954-1
165,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP422379781&_cid=P10-MIYK57-76954-1
166,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018051334&_cid=P10-MIYK57-76954-1
167,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024033869&_cid=P10-MIYK57-76954-1
168,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP449771329&_cid=P10-MIYK57-76954-1
169,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA239851260&_cid=P10-MIYK57-76954-1
170,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP458119851&_cid=P10-MIYK57-76954-1
171,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA124240115&_cid=P10-MIYK57-76954-1
172,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB219996184&_cid=P10-MIYK57-76954-1
173,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019083561&_cid=P10-MIYK57-76954-1
174,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022266653&_cid=P10-MIYK57-76954-1
175,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP192179305&_cid=P10-MIYK57-76954-1
176,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022137139&_cid=P10-MIYK57-76954-1
177,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP175560561&_cid=P10-MIYK57-76954-1
178,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015150420&_cid=P10-MIYK57-76954-1
179,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025166246&_cid=P10-MIYK57-76954-1
180,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP412602750&_cid=P10-MIYK57-76954-1
181,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP366851583&_cid=P10-MIYK57-76954-1
182,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB135150440&_cid=P10-MIYK57-76954-1
183,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93448838&_cid=P10-MIYK57-76954-1
184,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022104015&_cid=P10-MIYK57-76954-1
185,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36706037&_cid=P10-MIYK57-76954-1
186,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024059619&_cid=P10-MIYK57-76954-1
187,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP453101997&_cid=P10-MIYK57-76954-1
188,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36981885&_cid=P10-MIYK57-76954-1
189,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021152614&_cid=P10-MIYK57-76954-1
190,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA192194690&_cid=P10-MIYK57-76954-1
191,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB375143631&_cid=P10-MIYK57-76954-1
192,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP133206810&_cid=P10-MIYK57-76954-1
193,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36956337&_cid=P10-MIYK57-76954-1
194,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38308469&_cid=P10-MIYK57-76954-1
195,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2007069043&_cid=P10-MIYK57-76954-1
196,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP427174997&_cid=P10-MIYK57-76954-1
197,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94621673&_cid=P10-MIYK57-76954-1
198,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA152443598&_cid=P10-MIYK57-76954-1
199,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA105547076&_cid=P10-MIYK57-76954-1
200,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP241455758&_cid=P10-MIYK57-76954-2
201,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014096226&_cid=P10-MIYK57-76954-2
202,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021160327&_cid=P10-MIYK57-76954-2
203,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP449225617&_cid=P10-MIYK57-76954-2
204,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023199254&_cid=P10-MIYK57-76954-2
205,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP29904029&_cid=P10-MIYK57-76954-2
206,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38435586&_cid=P10-MIYK57-76954-2
207,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN392340567&_cid=P10-MIYK57-76954-2
208,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP411272085&_cid=P10-MIYK57-76954-2
209,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP74227567&_cid=P10-MIYK57-76954-2
210,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016124948&_cid=P10-MIYK57-76954-2
211,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP13059010&_cid=P10-MIYK57-76954-2
212,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025151597&_cid=P10-MIYK57-76954-2
213,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024000397&_cid=P10-MIYK57-76954-2
214,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP435555639&_cid=P10-MIYK57-76954-2
215,https://patentscope.wipo.int/search/en/detail.jsf?docId=US39079336&_cid=P10-MIYK57-76954-2
216,https://patentscope.wipo.int/search/en/detail.jsf?docId=NZ316830887&_cid=P10-MIYK57-76954-2
217,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017103738&_cid=P10-MIYK57-76954-2
218,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019010498&_cid=P10-MIYK57-76954-2
219,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA344779898&_cid=P10-MIYK57-76954-2
220,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36939178&_cid=P10-MIYK57-76954-2
221,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP249466900&_cid=P10-MIYK57-76954-2
222,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12961614&_cid=P10-MIYK57-76954-2
223,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2012134521&_cid=P10-MIYK57-76954-2
224,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94916938&_cid=P10-MIYK57-76954-2
225,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017091857&_cid=P10-MIYK57-76954-2
226,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021185836&_cid=P10-MIYK57-76954-2
227,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP336577749&_cid=P10-MIYK57-76954-2
228,https://patentscope.wipo.int/search/en/detail.jsf?docId=US35604690&_cid=P10-MIYK57-76954-2
229,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2013083445&_cid=P10-MIYK57-76954-2
230,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022061392&_cid=P10-MIYK57-76954-2
231,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94559382&_cid=P10-MIYK57-76954-2
232,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA130955506&_cid=P10-MIYK57-76954-2
233,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP133272138&_cid=P10-MIYK57-76954-2
234,https://patentscope.wipo.int/search/en/detail.jsf?docId=FI312808506&_cid=P10-MIYK57-76954-2
235,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2010078035&_cid=P10-MIYK57-76954-2
236,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014004203&_cid=P10-MIYK57-76954-2
237,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022256361&_cid=P10-MIYK57-76954-2
238,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023064376&_cid=P10-MIYK57-76954-2
239,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2013190065&_cid=P10-MIYK57-76954-2
240,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP205287759&_cid=P10-MIYK57-76954-2
241,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP376051791&_cid=P10-MIYK57-76954-2
242,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016094482&_cid=P10-MIYK57-76954-2
243,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94546573&_cid=P10-MIYK57-76954-2
244,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017130081&_cid=P10-MIYK57-76954-2
